year,cpi_yoy_pct,source
1990,5.6,Goskomstat/USSR
1991,160.4,Goskomstat/Rosstat
1992,2508.8,Rosstat (peak hyperinflation)
1993,874.2,IMF SDMX
1994,307.7,IMF SDMX
1995,197.4,IMF SDMX
1996,47.8,IMF SDMX
1997,14.8,IMF SDMX
1998,27.7,IMF SDMX
1999,85.7,IMF SDMX
2000,20.8,IMF SDMX
2001,21.5,IMF SDMX
2002,15.8,IMF SDMX
2003,13.7,IMF SDMX
2004,10.9,IMF SDMX
2005,12.7,IMF SDMX
2006,9.7,IMF SDMX
2007,9.0,IMF SDMX
2008,14.1,IMF SDMX
2009,11.6,IMF SDMX
2010,6.8,IMF SDMX
2011,8.4,IMF SDMX
2012,5.1,IMF SDMX
2013,6.8,IMF SDMX
2014,7.8,IMF SDMX
2015,15.5,IMF SDMX
2016,7.0,IMF SDMX
2017,3.7,IMF SDMX
2018,2.9,IMF SDMX
2019,4.5,IMF SDMX
2020,3.4,IMF SDMX
2021,6.7,IMF SDMX
2022,13.7,IMF SDMX
2023,5.9,IMF SDMX
2024,8.4,IMF SDMX
2025,7.0,IMF WEO forecast
2026,5.5,IMF WEO forecast
2027,4.5,IMF WEO forecast
2028,4.0,IMF WEO forecast
2029,4.0,IMF WEO forecast
2030,4.0,IMF WEO forecast
